Sweep, M, |M|
575, -0.250000, 0.250000
576, 0.375000, 0.375000
577, -0.250000, 0.250000
578, 0.375000, 0.375000
579, 0.000000, 0.000000
580, 0.500000, 0.500000
581, -0.500000, 0.500000
582, 0.000000, 0.000000
583, -0.125000, 0.125000
584, 0.375000, 0.375000
585, -0.375000, 0.375000
586, -0.250000, 0.250000
587, 0.625000, 0.625000
588, 0.000000, 0.000000
589, -0.125000, 0.125000
590, 0.375000, 0.375000
591, 0.000000, 0.000000
592, 0.250000, 0.250000
593, 0.500000, 0.500000
594, -0.500000, 0.500000
595, 0.500000, 0.500000
596, -0.750000, 0.750000
597, 0.875000, 0.875000
598, -0.750000, 0.750000
599, 0.000000, 0.000000
600, 0.625000, 0.625000
601, 0.500000, 0.500000
602, -0.250000, 0.250000
603, 0.375000, 0.375000
604, -0.375000, 0.375000
605, 0.250000, 0.250000
606, 0.000000, 0.000000
607, -0.375000, 0.375000
608, 0.125000, 0.125000
609, -0.250000, 0.250000
610, 0.125000, 0.125000
611, -0.375000, 0.375000
612, -0.750000, 0.750000
613, -0.125000, 0.125000
614, 0.125000, 0.125000
615, 0.250000, 0.250000
616, -0.375000, 0.375000
617, -0.375000, 0.375000
618, 0.625000, 0.625000
619, 0.000000, 0.000000
620, -0.500000, 0.500000
621, 0.125000, 0.125000
622, 0.000000, 0.000000
623, 0.500000, 0.500000
624, 0.250000, 0.250000
625, -0.875000, 0.875000
626, -0.625000, 0.625000
627, 0.125000, 0.125000
628, 0.125000, 0.125000
629, -0.375000, 0.375000
630, 0.500000, 0.500000
631, 0.125000, 0.125000
632, 0.375000, 0.375000
633, 0.125000, 0.125000
634, -0.375000, 0.375000
635, 0.125000, 0.125000
636, -0.625000, 0.625000
637, 0.250000, 0.250000
638, -0.375000, 0.375000
639, 0.375000, 0.375000
640, -0.250000, 0.250000
641, 0.000000, 0.000000
642, -0.250000, 0.250000
643, -0.375000, 0.375000
644, 0.250000, 0.250000
645, 0.500000, 0.500000
646, 0.125000, 0.125000
647, 0.125000, 0.125000
648, -0.750000, 0.750000
649, 0.250000, 0.250000
650, -0.125000, 0.125000
651, -0.125000, 0.125000
652, 0.250000, 0.250000
653, 0.000000, 0.000000
654, -0.750000, 0.750000
655, -0.125000, 0.125000
656, 0.125000, 0.125000
657, 0.000000, 0.000000
658, 0.250000, 0.250000
659, 0.875000, 0.875000
660, 0.750000, 0.750000
661, 0.000000, 0.000000
662, -0.250000, 0.250000
663, 0.375000, 0.375000
664, -0.500000, 0.500000
665, 0.500000, 0.500000
666, 0.625000, 0.625000
667, 0.375000, 0.375000
668, -0.625000, 0.625000
669, -0.625000, 0.625000
670, 1.000000, 1.000000
671, 0.750000, 0.750000
672, 0.500000, 0.500000
673, -0.125000, 0.125000
674, -0.125000, 0.125000
675, 0.500000, 0.500000
676, -0.250000, 0.250000
677, -0.250000, 0.250000
678, 0.625000, 0.625000
679, -0.500000, 0.500000
680, 0.500000, 0.500000
681, -0.625000, 0.625000
682, 0.625000, 0.625000
683, -0.375000, 0.375000
684, -0.125000, 0.125000
685, 0.375000, 0.375000
686, 0.125000, 0.125000
687, 0.500000, 0.500000
688, -0.250000, 0.250000
689, 0.375000, 0.375000
690, -0.500000, 0.500000
691, -0.750000, 0.750000
692, 0.500000, 0.500000
693, 0.250000, 0.250000
694, 0.500000, 0.500000
695, 0.000000, 0.000000
696, 0.375000, 0.375000
697, -0.250000, 0.250000
698, -0.125000, 0.125000
699, 0.500000, 0.500000
700, 0.375000, 0.375000
701, -0.125000, 0.125000
702, -0.500000, 0.500000
703, 0.000000, 0.000000
704, 0.750000, 0.750000
705, -0.500000, 0.500000
706, 0.000000, 0.000000
707, 0.625000, 0.625000
708, -0.125000, 0.125000
709, 0.000000, 0.000000
710, 0.000000, 0.000000
711, 0.000000, 0.000000
712, 0.000000, 0.000000
713, -0.250000, 0.250000
714, 0.250000, 0.250000
715, 0.625000, 0.625000
716, 0.625000, 0.625000
717, -0.500000, 0.500000
718, -0.500000, 0.500000
719, 0.500000, 0.500000
720, -0.250000, 0.250000
721, -0.125000, 0.125000
722, 0.625000, 0.625000
723, -0.250000, 0.250000
724, 0.000000, 0.000000
725, 0.375000, 0.375000
726, -0.625000, 0.625000
727, 0.375000, 0.375000
728, 0.250000, 0.250000
729, 0.500000, 0.500000
730, -0.125000, 0.125000
731, 0.125000, 0.125000
732, 0.125000, 0.125000
733, 0.000000, 0.000000
734, 0.000000, 0.000000
735, 0.375000, 0.375000
736, -0.250000, 0.250000
737, 0.250000, 0.250000
738, 0.625000, 0.625000
739, 0.375000, 0.375000
740, 0.375000, 0.375000
741, -0.500000, 0.500000
742, -0.125000, 0.125000
743, 0.000000, 0.000000
744, 0.125000, 0.125000
745, -0.500000, 0.500000
746, 0.375000, 0.375000
747, 0.125000, 0.125000
748, -0.625000, 0.625000
749, -0.500000, 0.500000
750, 0.375000, 0.375000
751, -0.375000, 0.375000
752, 0.250000, 0.250000
753, -0.250000, 0.250000
754, 0.250000, 0.250000
755, 0.000000, 0.000000
756, -0.125000, 0.125000
757, 0.625000, 0.625000
758, -0.125000, 0.125000
759, -0.500000, 0.500000
760, -0.750000, 0.750000
761, -0.250000, 0.250000
762, 0.375000, 0.375000
763, -0.125000, 0.125000
764, 0.250000, 0.250000
765, -0.250000, 0.250000
766, 0.000000, 0.000000
767, -0.125000, 0.125000
768, 0.625000, 0.625000
769, -0.625000, 0.625000
770, 0.125000, 0.125000
771, 0.000000, 0.000000
772, -0.125000, 0.125000
773, -0.125000, 0.125000
774, 0.875000, 0.875000
775, -0.125000, 0.125000
776, -0.125000, 0.125000
777, -0.250000, 0.250000
778, -0.250000, 0.250000
779, 0.625000, 0.625000
780, 0.000000, 0.000000
781, -0.625000, 0.625000
782, 0.750000, 0.750000
783, 0.250000, 0.250000
784, -0.625000, 0.625000
785, -0.875000, 0.875000
786, -0.750000, 0.750000
787, 0.125000, 0.125000
788, -0.500000, 0.500000
789, -0.750000, 0.750000
790, 0.250000, 0.250000
791, 0.625000, 0.625000
792, 0.375000, 0.375000
793, -0.250000, 0.250000
794, -0.375000, 0.375000
795, 0.375000, 0.375000
796, 0.000000, 0.000000
797, 0.125000, 0.125000
798, 0.625000, 0.625000
799, -0.375000, 0.375000
800, -0.625000, 0.625000
801, -0.125000, 0.125000
802, 0.875000, 0.875000
803, 0.500000, 0.500000
804, -1.000000, 1.000000
805, 0.750000, 0.750000
806, 0.375000, 0.375000
807, -0.250000, 0.250000
808, 0.250000, 0.250000
809, 0.500000, 0.500000
810, -0.625000, 0.625000
811, 0.750000, 0.750000
812, -0.500000, 0.500000
813, -0.375000, 0.375000
814, -0.250000, 0.250000
815, 0.375000, 0.375000
816, -0.375000, 0.375000
817, 0.375000, 0.375000
818, 0.625000, 0.625000
819, 0.000000, 0.000000
820, -0.125000, 0.125000
821, -0.500000, 0.500000
822, 0.375000, 0.375000
823, -0.250000, 0.250000
824, -0.375000, 0.375000
825, 0.625000, 0.625000
826, 0.000000, 0.000000
827, -0.500000, 0.500000
828, -0.375000, 0.375000
829, 0.750000, 0.750000
830, 0.750000, 0.750000
831, 0.125000, 0.125000
832, -0.500000, 0.500000
833, -0.250000, 0.250000
834, -0.125000, 0.125000
835, -0.125000, 0.125000
836, -0.500000, 0.500000
837, 0.125000, 0.125000
838, -0.375000, 0.375000
839, 0.375000, 0.375000
840, -0.250000, 0.250000
841, -0.125000, 0.125000
842, -0.250000, 0.250000
843, -0.375000, 0.375000
844, -0.375000, 0.375000
845, -0.250000, 0.250000
846, -0.875000, 0.875000
847, 0.500000, 0.500000
848, 0.500000, 0.500000
849, 0.750000, 0.750000
850, -0.500000, 0.500000
851, -0.250000, 0.250000
852, 0.500000, 0.500000
853, -0.125000, 0.125000
854, -0.500000, 0.500000
855, 0.500000, 0.500000
856, -0.250000, 0.250000
857, -0.500000, 0.500000
858, 0.625000, 0.625000
859, 0.250000, 0.250000
860, -0.625000, 0.625000
861, 0.125000, 0.125000
862, -0.375000, 0.375000
863, -0.375000, 0.375000
864, 0.375000, 0.375000
865, 0.000000, 0.000000
866, 0.500000, 0.500000
867, 0.125000, 0.125000
868, 0.250000, 0.250000
869, 0.000000, 0.000000
870, -0.500000, 0.500000
871, 0.250000, 0.250000
872, 0.000000, 0.000000
873, 0.500000, 0.500000
874, -0.500000, 0.500000
875, -0.625000, 0.625000
876, -0.625000, 0.625000
877, -0.500000, 0.500000
878, -0.500000, 0.500000
879, 0.000000, 0.000000
880, 0.250000, 0.250000
881, -0.500000, 0.500000
882, -0.500000, 0.500000
883, 0.000000, 0.000000
884, -0.125000, 0.125000
885, -0.250000, 0.250000
886, -0.125000, 0.125000
887, 0.375000, 0.375000
888, -0.500000, 0.500000
889, 0.875000, 0.875000
890, 0.625000, 0.625000
891, -0.375000, 0.375000
892, 0.500000, 0.500000
893, -0.375000, 0.375000
894, 0.375000, 0.375000
895, -0.375000, 0.375000
896, -0.250000, 0.250000
897, 0.625000, 0.625000
898, -0.375000, 0.375000
899, -0.625000, 0.625000
900, -0.375000, 0.375000
901, 0.625000, 0.625000
902, 0.375000, 0.375000
903, 0.125000, 0.125000
904, -0.750000, 0.750000
905, 0.250000, 0.250000
906, 0.125000, 0.125000
907, 0.125000, 0.125000
908, -0.375000, 0.375000
909, 0.250000, 0.250000
910, 0.000000, 0.000000
911, 0.250000, 0.250000
912, -0.250000, 0.250000
913, -0.125000, 0.125000
914, -0.250000, 0.250000
915, 0.125000, 0.125000
916, 0.000000, 0.000000
917, 0.750000, 0.750000
918, 0.625000, 0.625000
919, -0.500000, 0.500000
920, 0.000000, 0.000000
921, 0.250000, 0.250000
922, 0.875000, 0.875000
923, -0.875000, 0.875000
924, 0.000000, 0.000000
925, 0.125000, 0.125000
926, -0.750000, 0.750000
927, -0.875000, 0.875000
928, 0.125000, 0.125000
929, 0.375000, 0.375000
930, -0.750000, 0.750000
931, -0.500000, 0.500000
932, -0.250000, 0.250000
933, -0.750000, 0.750000
934, 0.000000, 0.000000
935, -0.125000, 0.125000
936, 0.000000, 0.000000
937, 0.500000, 0.500000
938, 0.375000, 0.375000
939, 0.125000, 0.125000
940, -0.250000, 0.250000
941, -0.125000, 0.125000
942, 0.625000, 0.625000
943, -0.500000, 0.500000
944, 0.375000, 0.375000
945, -0.375000, 0.375000
946, -0.125000, 0.125000
947, 0.000000, 0.000000
948, 0.000000, 0.000000
949, 0.125000, 0.125000
950, -0.750000, 0.750000
951, 0.375000, 0.375000
952, 0.375000, 0.375000
953, -0.250000, 0.250000
954, 0.000000, 0.000000
955, 0.250000, 0.250000
956, -0.125000, 0.125000
957, 0.250000, 0.250000
958, -0.500000, 0.500000
959, 0.125000, 0.125000
960, -0.250000, 0.250000
961, -0.500000, 0.500000
962, 0.625000, 0.625000
963, -0.250000, 0.250000
964, 0.375000, 0.375000
965, -0.375000, 0.375000
966, 0.125000, 0.125000
967, 0.375000, 0.375000
968, 0.125000, 0.125000
969, -0.125000, 0.125000
970, 0.375000, 0.375000
971, -0.375000, 0.375000
972, 0.250000, 0.250000
973, 0.875000, 0.875000
974, -0.375000, 0.375000
975, -0.875000, 0.875000
976, 0.750000, 0.750000
977, 0.000000, 0.000000
978, 0.250000, 0.250000
979, 0.000000, 0.000000
980, -0.375000, 0.375000
981, 0.125000, 0.125000
982, 0.250000, 0.250000
983, 0.000000, 0.000000
984, 0.250000, 0.250000
985, 0.000000, 0.000000
986, -0.375000, 0.375000
987, 0.625000, 0.625000
988, -0.750000, 0.750000
989, -0.250000, 0.250000
990, 0.750000, 0.750000
991, -0.250000, 0.250000
992, -0.500000, 0.500000
993, 0.250000, 0.250000
994, 0.125000, 0.125000
995, 0.250000, 0.250000
996, 0.000000, 0.000000
997, -0.500000, 0.500000
998, 0.375000, 0.375000
999, -0.375000, 0.375000
